Title,Author,Publisher,Date of Publication,Description,CD/ DVD/ Online Access Code,Cost,Purchased by,School,Total
A Child's Treasure of Songs,Ill. Linda Bleck,,,,,,,,
Raffi's Top 10 Songs to Read,Raffi,,,,,,,,
Rock a bye baby- Lullabies,Jane Romer,,,,,,,,
Sing- sing a song,,,,,,,,,
Frosty the Snowman,Steve Nelson and Jack Rollins,Scholastic,,,,,,,
Merry Christmas Hello Kitty,,Abrams,,,,,,,
Santa's Workshop,,Priddy books,,,,,,,
The Loneliest Teddy Bear,Jacqueline Hanks and Karen Bently,,1991,,,,,,
A porcupine in a pine tree- A canadian 12 days of Christmas- Hardcover,Helaine Becker and Werner Zimmerman,,,,,,,,
My Christmas Wonderland,,Brown Watson,1991,,,,,,
My treasury of Christmas Stories,,Brown Watson,1991,,,,,,
The merry christmas book- A first book of holiday stories and poems,Denise Fleming,Random House,,,,,,,
The ladybird Christmas Book,,Ladybird books,,,,,,,
The 12 days of Christmas,Jan Brett,,,,,,,,
The 12 days of Christmas,Jan Brett,,,,,,,,
The muppet Christmas Carol ,,Golden boook,,,,,,,
Charlie Brown Christmas,,Hallmark,,,,,,,
Baby Kermit's Christmas,Louise Gikow,,,,,,,,
"Thank you, Santa",Margaret Wild,Scholastic,,,,,,,
Teddy Bear's Christmas- Holiday greetings from the secret world of teddy bears,,,,,,,,,
Christmas Wombat,Jackie French and Bruce Whatley,,,,,,,,
The huron carol ,Frances Tyrrell,,,,,,,,
"Holly, Reindeer, and Colored Lights- The story of christmas symbols",Edna Barth,,,,,,,,
A christmas carol- easy piano picture book,Annabel Spenceley,,,,,,,,
Tiny blessings for a merry chrismtas,Amy Parker,,,,,,,,
Rudolph the Red Nosed Reindeer,,Golden book,,,,,,,
24 Christmas Carols,,,,,,,,,
Nutcracker,ETA Hoffmann and Roberto Innocenti,,,,,,,,
The saturday evening post Christmas Book,,,,,,,,,
The Elf on the Shelf- A Christnas Tradition,Carol Aebersold and Chanda Bell,,,,,,,,
Twas the night before christmas- Featuring a coca cola Santa tribute,,,,,,,,,
Who will guide my sleigh tonight,Jerry Pallotta and David Biedrzycki,Scholastic ,,,,,,,
Ten little Christmas Presents,Jean Marzollo,,,,,,,,
Woodland Christmas,Frances Tyrrell,scholastic,,,,,,,
Robot Santa- The further Adventures of Santa's Twin,Dean Koontz,,,,,,,,
The Legend of Saint Nicholas,,,,,,,,,
Do Rabbits have Christmas? Poems by Aileen Fisher,,,,,,,,,
The 12 days of Christmas,Claire Counihan,Scholastic,,,,,,,
Christmas is Coming 1985- Holiday Projects for Children and Parents,,,,,,,,,
"Merry Christmas, Squirrels",Nancy Rose,,,,,,,,
Christmas Mice,Bethany Roberts,Scholastic,,,,,,,
Memoirs of an Elf,Devin Scillan and Tim Bowers,Scholastic,,,,,,,
The day santa stopped believe in Harold,Maureen Fergus and Cale Stkinson,,,,,,,,
Amazing Peace- A Christmas Poem,Steve Johnson and Lou Fancher,,,,,,,,
Who will guide my sleigh tonight,Jerrry Pallotta and David Biedrzycki,,,,,,,,
Santa Clause is Green- How to have an eco friendly christmas,,,,,,,,,
The legend of St. Nicholas- A story of Christmas Giving,Dandi Mackall and Richard Cowdrey,,,,,,,,
The 12 bugs of Christmas,,,,,,,,,
A gingerbread Christmas,Tim Raglin and Eric Metaxas,,,,,,,,
The polar Express,,,,,,,,,
A pioneer christmas- Celebrating in the backwoods in 1841,Barbara Greenwood,,,,,,,,
Hanukkah- The festival of lights,,,,,,,,,
The 12 days of christmas,,Golden,,,,,,,
The huron carol,Frances Tyrrell,Scholastic,,,,,,,
The little christmas tree,Stephanie Jeffs,A surpise picture book,,,,,,,
Reindeer Magic,,,,,,,,,
Santa Cows,Cooper Edens,,,,,,,,
My christmas treasury,,Golden,,,,,,,
The littlest Christmas Elf,Nancy Buss,Golden,,,,,,,
The 12 days of christmas,Linnea Riley,,,,,,,,
One special tree,Oleana Kassian,,,,,,,,
"The biggest, best snowman",Margery Cuyler,Scholastic,,,,,,,
Rocking horse Christmas,Mary Pope Osborne,,,,,,,,
The days of Christmas,,Golden,,,,,,,
Christmas around the world,,,,,,,,,
Prancer,Steven Cosgrove,,,,,,,,
Wake up Santa Claus! ,Marcus Pfister,,,,,,,,
Finding Christmas,Helen Ward,,,,,,,,
