Title,Author,Verified,Sold,Keep,Date of Publication,Price for Sale,Subject,CD/ DVD/ Online Access Code
Fun with Boomwhackers,Chris Judah- Lauder,TRUE,FALSE,FALSE,,10,Boomwhackers,
Boom 'n' Tunes- Easy Folk tunes,Linda Forrest,TRUE,FALSE,FALSE,2004,10,Boomwhackers,
Quick Starts for Young Choir- Activities and Ideas to Focus Young Singers,Cristi Cary Miller and Angela K McKenna,TRUE,FALSE,FALSE,2013,5,Choral,
"Spirituals for Two- 9 Duets on Tradiitonal Spirituals for Concerts, Contests, Recitals and Worship",,TRUE,FALSE,FALSE,,8,Choral,CD
Making Music Come Alive,Nancy Telfer,TRUE,FALSE,FALSE,,5,Choral,
"Expressive singing- 3rd Ed- Vol 1- Guidance, technical principal exercises and basics of interpretation for school or studio class or private teaching",Van A. Christy,TRUE,FALSE,FALSE,1974,5,Choral,
"National Anthems- Piano/vocal arrangements, reproducible vocal scores, performance/accompaniment CD in a variety of keys",Tominik Hauser- Themes and Variations,TRUE,FALSE,FALSE,2003,5,Choral,CD
Reflections of Canada- Singing in the Circle Series- Cypress Choral Music,Dr. Ardelle Ries,TRUE,FALSE,FALSE,,5,Choral,
Strictly Warm-Ups- Vol. 1,Kerry Heisler,TRUE,FALSE,FALSE,2006,5,Choral,CD
Victoria sings short stuff- Small songs for community singing,,TRUE,FALSE,FALSE,2017,10,Choral,CD
Successful sight singing- A creative step by step approach-teacher's edition- Book 1,Nancy Telfer,TRUE,FALSE,FALSE,,10,Choral,
Successful warm ups book 1- singers edition,Nancy Telfer,TRUE,FALSE,FALSE,1995,5,Choral,
Successful sight singing- A creative step by step approach-singer's edition- Book 1,Nancy Telfer,TRUE,FALSE,FALSE,1992,5,Choral,
The choral warm-up collection- A sourcebook of 167 choral warmups contributed by 51 choral directors,Sally Albrecht,TRUE,FALSE,FALSE,,10,Choral,
The complete choral warm up book- A sourcebook for choral directors,Russell Robinson and Jay Althouse,TRUE,FALSE,FALSE,,10,Choral,
Hooray for Singing- Part Singing Adventures for Upper Elementary and Middle School,Robert de Frece,TRUE,FALSE,FALSE,2000,10,Choral,
Songs of Joy- Reproducible music for Elementary Choir,Craig Cassils,TRUE,FALSE,FALSE,2003,10,Choral,
Teaching kids to sing,Kenneth Phillips,TRUE,FALSE,FALSE,,20,Choral,
Mike Brewer's Warm-Ups!- The indispensable handbook for singers and choral directors,Mike Brewer,TRUE,FALSE,FALSE,,10,Choral,
Rhythm and Movement- Applications of Dalcroze Eurthymics,Elsa Findlay,TRUE,FALSE,FALSE,1971- reissue,10,Dalcroze,
Make it Music- Dalcroze Strategies for Every Classroom-Booklet and card set,Anthony Molinaro and Stephen Neely,TRUE,FALSE,FALSE,2025,20,Dalcroze,
Dalcroze Eurhythmics in Today's Music Classroom,Virginia Hoge Mead,TRUE,FALSE,FALSE,1994,10,Dalcroze,
Dalcroze Eurhythmics in the Choral Classroom,Marla Butke and David Frego,TRUE,FALSE,FALSE,2021,$20.00,Dalcroze,Online Access Code
Creating Artistry through Movement- Dalcroze Eurhythmics in the Choral Setting- DVD,Henry Leck and R.J. David Frego,TRUE,FALSE,FALSE,,5,Dalcroze,DVD
Phonemic awareness songs and rhymes- Spring,Kimerly Jordano and Trisha Callela,TRUE,FALSE,FALSE,1998,5,Early Childhood Music,CD
The complete book of music games and activities for early childhood,Margaret Athey and Gwen Hotchkiss,TRUE,FALSE,FALSE,1982,5,Early Childhood Music,
Musicplay- Kindergarten Music Program- Teacher's Guide- Binder format,Denise Gagne,TRUE,FALSE,FALSE,,10,Early Childhood Music,CD
The Magic of Music- Book 1,Ginn and Company,TRUE,FALSE,FALSE,1965,5,Early Childhood Music,
The Magic of Music- Kindergarten,Ginn and Company,TRUE,FALSE,FALSE,1970,5,Early Childhood Music,
"The Joy of Music- Early Childhood- A comprehensive book of music, activities and instruction",Summy-Birchard Company,TRUE,FALSE,FALSE,1967,5,Early Childhood Music,
Music together at home- helping your child grow musically- DVD,Music together,TRUE,FALSE,FALSE,,2,Early Childhood Music,
Music Together Teacher's Guide- Drum,,TRUE,FALSE,FALSE,,5,Early Childhood Music,
Music Together Teacher's Guide- Maracas,,TRUE,FALSE,FALSE,,5,Early Childhood Music,
Music Together Teacher's Guide- Fiddle,,TRUE,FALSE,FALSE,,5,Early Childhood Music,
Music Together Teacher's Guide- Flute,,TRUE,FALSE,FALSE,,5,Early Childhood Music,
Music Together Teacher's Guide- bongos,,TRUE,FALSE,FALSE,,5,Early Childhood Music,
Music Together Teacher's Guide- Triangle,,TRUE,FALSE,FALSE,,5,Early Childhood Music,
Making music fun for little ones- book 3,Noble and Stener,TRUE,FALSE,FALSE,2008,5,Early Childhood Music,CD
Making music fun for little ones- book 2- Winter- Music to promote literacy in children 2-5 years old version,,TRUE,FALSE,FALSE,,5,Early Childhood Music,CD
Making music fun for little ones- book 1- Music to promote literacy in children 2-5 years old version,Noble and Stener,TRUE,FALSE,FALSE,2005,5,Early Childhood Music,CD
Wee Sing for Baby,Pamela Conn Beall and Susan Hagan Nipp,TRUE,FALSE,FALSE,2005,5,Early Childhood Music,
We love to move- Action and games songs for early childhood from the musicplay kindergarten curriculum,Denise Gagne,TRUE,FALSE,FALSE,2006,10,Early Childhood Music,CD
Hear and Listen! Talk and Sing!- Songs for young children who are hearing impaired and others who need help learning to talk,Warren Estabrooks adn Lois Birkenshaw-Fleming,TRUE,FALSE,FALSE,1994,5,Early Childhood Music,
Move sing listen play- Preparing the young child for music- reissue edition,Donna Wood,TRUE,FALSE,FALSE,Updated edition,10,Early Childhood Music,
Language through music,"Luther, McPherson, Milller and Ray",TRUE,FALSE,FALSE,1992,2,Early Childhood Music,
Making music together,Kindermusik,TRUE,FALSE,FALSE,,2,Early Childhood Music,
Round and Round the Garden- Play rhymes for young children,Ian Beck and Sarah Williams,TRUE,FALSE,FALSE,1983,5,Early Childhood Music,
Music- A way of life for the young child,Kathleen Bayless and Marjorie Ramsey,TRUE,FALSE,FALSE,1978,5,Early Childhood Music,
