num,original,verified,author,status
1,The Music Tree- A Plan for Musical Growth,The Music Tree- A Plan for Musical Growth,Frances Clark; Louise Goss,not found
2,"A Celebration of Notes- Naming, Drawing, Playing, Hearing- Book 2","A Celebration of Notes- Naming, Drawing, Playing, Hearing- Book 2",Jane Simsor Bastien,not found
3,Music Puzzles- Fun for Everyone,Music Puzzles- Fun for Everyone,Black Cat Productions,not found
4,Virgin Island Folk Songs,Virgin Island Folk Songs,Bill La Motta,not found
5,Ukulele Encore- Songs and Arrangements for the Ukulelle,Ukulele Encore- Songs and Arrangements for the Ukulelle,J. Chalmers Doane,not found
6,Classroom Ukulele- Book One,Classroom Ukulele- Book One,J. Chalmers Doane,not found
7,Comprehensive Recorder Method- Teacher's Manual- Singing and Playing with Orff Instruments,Comprehensive Recorder Method- Teacher's Manual- Singing and Playing with Orff Instruments,Laurence and Elizabeth Wheeler,not found
8,Play the Recorder- Book 1,Play the Recorder- Book 1,Robert Salkeld,not found
9,The Sunny Snowbear,The Sunny Snowbear,David Carr Glover,not found
10,Young Composer's Notebook- A student's Guide to Composing- Vol 2,Young Composer's Notebook- A student's Guide to Composing- Vol 2,Frances Balodis,not found
11,Young Composer's Notebook- A student's Guide to Composing- Vol. 3,Young Composer's Notebook- A student's Guide to Composing- Vol. 3,,not found
12,Music by Me- A Composition Workbook,Music by Me- A Composition Workbook,Kevin Olson and Wynn-Anne Rossi,not found
13,Music Manipulatives Workbook: Playful props to Reinforce Musical Concepts,Music Manipulatives Workbook: Playful props to Reinforce Musical Concepts,Danielle Bayert,not found
14,Let's Sing and Dance Today,Let's Sing and Dance Today,Diane Shieron,not found
15,Let's Sing and Dance Today,Let's Sing and Dance Today,Diane Shieron,not found
16,"A Rhyme in Tyme- Rhythm, Speech Activities and Improvisation for the Classroom","A Rhyme in Tyme- Rhythm, Speech Activities and Improvisation for the Classroom",Doug Goodkin,not found
17,2nd Rhyme Around- More nursery rhyme with music for Children,2nd Rhyme Around- More nursery rhyme with music for Children,Randy DeLelles and Jeff Kriske,not found
18,Essential Rhythm Activities for the Music Classroom- Ready to use lesson and games for grades Pre-K-8,Essential Rhythm Activities for the Music Classroom- Ready to use lesson and games for grades Pre-K-8,Eric Branscome,not found
19,Energize Your Music Room- Engaging Games and Activities for Orff Classrooms,Energize Your Music Room- Engaging Games and Activities for Orff Classrooms,Tim Weigand,not found
20,Tyme for a Rhyme- Nursery Rhymes with Music for Children,Tyme for a Rhyme- Nursery Rhymes with Music for Children,Randy DeLelles and Jeff Kriske,not found
21,All Around the Buttercup- A Supplement to Music for Children,All Around the Buttercup- A Supplement to Music for Children,Ruth Boshkoff,not found
22,The Beat of a Drum- A Collection of Seventeen Canadian Folksongs with Accompaniments for Orff Instruments,The Beat of a Drum- A Collection of Seventeen Canadian Folksongs with Accompaniments for Orff Instruments,Alvin Spaxman,not found
23,Animal Cracker Suite and Other Poems- A Supplement to Music for Children,Animal Cracker Suite and Other Poems- A Supplement to Music for Children,Deborah A. Imiolo-Schriver,not found
24,Let's Sing! Let's Dance! Let's Play! Songs and Dances arranged for Orff Instruments,Let's Sing! Let's Dance! Let's Play! Songs and Dances arranged for Orff Instruments,Alice Olsen,not found
25,Once Long Ago- Three Folk Tales with Music for Children,Once Long Ago- Three Folk Tales with Music for Children,Randy DeLelles and Jeff Kriske,not found
26,A Musical Treat That's Fun to Beat- The Poetry of Dennis Lee set in the Orff Style,A Musical Treat That's Fun to Beat- The Poetry of Dennis Lee set in the Orff Style,Judy Sills,not found
27,Staff and Symbol Games,Staff and Symbol Games,Denise Gagne,not found
28,Staff and Symbol Games,Staff and Symbol Games,Denise Gagne,not found
29,Fun 'N Games Galore- An Orff Based Approach- Vol. 1,Fun 'N Games Galore- An Orff Based Approach- Vol. 1,Sue Harvie,not found
30,Get to the Point- A Collection of Pointing Pages and Powerful Plans,Get to the Point- A Collection of Pointing Pages and Powerful Plans,Artie Almedia and Katie Grace Miller,not found
31,Listening Fun with Scarves and Tennis Balls,Listening Fun with Scarves and Tennis Balls,Dan Fee,not found
32,"Parachutes and Ribbons and Scarves, Oh My! Listening Lessons with Movement Props","Parachutes and Ribbons and Scarves, Oh My! Listening Lessons with Movement Props",Artie Almedia,not found
33,"Woods, Metals, Shakers, Skins- Hoop Group Activities for your Active Music Room","Woods, Metals, Shakers, Skins- Hoop Group Activities for your Active Music Room",Artie Almedia,not found
34,Percussion Parade,Percussion Parade,Artie Almedia,not found
35,"Sing, Dance, and Play as you Assess Along the Way","Sing, Dance, and Play as you Assess Along the Way",Daphne Price & Lori Price Wagner,not found
36,Hot Peas & Barley-O- Children's Songs and Games from Scotland,Hot Peas & Barley-O- Children's Songs and Games from Scotland,Susan Brumfield,not found
37,First We Sing! 100 Little Songs and Rhymes,First We Sing! 100 Little Songs and Rhymes,Susan Brumfield,not found
38,Over the Garden Wall- Children's Songs and Games from Scotland,Over the Garden Wall- Children's Songs and Games from Scotland,Susan Brumfield,not found
39,An Illustrated History of Music for Young Musicians- The Romantic Period,An Illustrated History of Music for Young Musicians- The Romantic Period,Gilles Comeau and Rosemary Covert,not found
40,An Illustrated History of Music for Young Musicians- The Classical Period,An Illustrated History of Music for Young Musicians- The Classical Period,Gilles Comeau and Rosemary Covert,not found
41,An Illustrated History of Music for Young Musicians- The Middle Ages and the Renaissance Period,An Illustrated History of Music for Young Musicians- The Middle Ages and the Renaissance Period,Gilles Comeau and Rosemary Covert,not found
